
         The numerical solution of Blasius equation
             shooting by Newton-Rhapson method


     eta      f(eta)        f'(eta)       f''(eta)         V    
   --------------------------------------------------------------
   0.0000   0.000000000   0.000000000   0.332057336   0.000000000
   0.1000   0.001660282   0.033205504   0.332048148   0.000830134
   0.2000   0.006641000   0.066407792   0.331983837   0.003320279
   0.3000   0.014941464   0.099598599   0.331809348   0.007469058
   0.4000   0.026559884   0.132764161   0.331469844   0.013272890
   0.5000   0.041492820   0.165885254   0.330910955   0.020724904
   0.6000   0.059734637   0.198937252   0.330079128   0.029813857
   0.7000   0.081276975   0.231890236   0.328922068   0.040523095
   0.8000   0.106108221   0.264709139   0.327389270   0.052829545
   0.9000   0.134213006   0.297353959   0.325432629   0.066702779
   1.0000   0.165571726   0.329780031   0.323007117   0.082104153
   1.1000   0.200160092   0.361938374   0.320071517   0.098986060
   1.2000   0.237948717   0.393776104   0.316589191   0.117291304
   1.3000   0.278902753   0.425236939   0.312528864   0.136952634
   1.4000   0.322981574   0.456261765   0.307865392   0.157892448
   1.5000   0.370138531   0.486789295   0.302580502   0.180022706
   1.6000   0.420320766   0.516756784   0.296663461   0.203245045
   1.7000   0.473469106   0.546100818   0.290111650   0.227451143
   1.8000   0.529518038   0.574758144   0.282931017   0.252523311
   1.9000   0.588395768   0.602666545   0.275136378   0.278335334
   2.0000   0.650024370   0.629765737   0.266751546   0.304753552
   2.1000   0.714320022   0.655998263   0.257809259   0.331638165
   2.2000   0.781193337   0.681310377   0.248350913   0.358844746
   2.3000   0.850549772   0.705652887   0.238426070   0.386225934
   2.4000   0.922290126   0.728981935   0.228091761   0.413633259
   2.5000   0.996311109   0.751259704   0.217411584   0.440919076
   2.6000   1.072505977   0.772455021   0.206454627   0.467938539
   2.7000   1.150765221   0.792543845   0.195294222   0.494551580
   2.8000   1.230977302   0.811509623   0.184006594   0.520624821
   2.9000   1.313029408   0.829343512   0.172669413   0.546033388
   3.0000   1.396808231   0.846044444   0.161360320   0.570662550
   3.1000   1.482200744   0.861619053   0.150155457   0.594409161
   3.2000   1.569094960   0.876081455   0.139128056   0.617182848
   3.3000   1.657380662   0.889452886   0.128347118   0.638906931
   3.4000   1.746950094   0.901761221   0.117876246   0.659519029
   3.5000   1.837698595   0.913040385   0.107772637   0.678971377
   3.6000   1.929525170   0.923329666   0.098086279   0.697230814
   3.7000   2.022332991   0.932672965   0.088859363   0.714278490
   3.8000   2.116029817   0.941117997   0.080125918   0.730109285
   3.9000   2.210528336   0.948715464   0.071911672   0.744730987
   4.0000   2.305746418   0.955518230   0.064234121   0.758163250
   4.1000   2.401607298   0.961580505   0.057102805   0.770436386
   4.2000   2.498039663   0.966957074   0.050519747   0.781590024
   4.3000   2.594977678   0.971702573   0.044480053   0.791671693
   4.4000   2.692360938   0.975870832   0.038972611   0.800735362
   4.5000   2.790134353   0.979514291   0.033980888   0.808839978
   4.6000   2.888247990   0.982683501   0.029483772   0.816048057
   4.7000   2.986656856   0.985426708   0.025456434   0.822424335
